INSERT INTO Taxi VALUES ('YPP6492', 'Renault', 'Citroen', '2003', 'LP881328');
INSERT INTO Taxi VALUES ('JPL1640', 'Volkswagen', 'Fiat', '2005', 'UP478553');
INSERT INTO Taxi VALUES ('LVY2321', 'Citroen', 'Renault', '2015', 'UQ973835');
INSERT INTO Taxi VALUES ('FJI8610', 'Honda', 'Fiat', '2009', 'CO222692');
INSERT INTO Taxi VALUES ('OGL2184', 'Mitsubishi', 'Marcopolo', '2014', 'DM445386');
INSERT INTO Taxi VALUES ('FHW0457', 'Nissan', 'Renault', '2021', 'UM474532');
INSERT INTO Taxi VALUES ('ZHT4633', 'Suzuki', 'Jaguar', '2016', 'CQ709639');
INSERT INTO Taxi VALUES ('HVU7588', 'Marcopolo', 'Fiat', '2003', 'LI562801');
INSERT INTO Taxi VALUES ('VSH3180', 'Volkswagen', 'BWM', '2016', 'KN857084');
INSERT INTO Taxi VALUES ('EDC4902', 'Jaguar', 'Jaguar', '2023', 'GV814697');
INSERT INTO Taxi VALUES ('KHW9983', 'Renault', 'Honda', '2004', 'HP863167');
INSERT INTO Taxi VALUES ('MMZ2789', 'Peugeot', 'Fiat', '2024', 'XR413876');
INSERT INTO Taxi VALUES ('YKC0272', 'Nissan', 'Honda', '2021', 'GU959066');
INSERT INTO Taxi VALUES ('PDP3061', 'Nissan', 'Marcopolo', '2020', 'WO034971');
INSERT INTO Taxi VALUES ('NYF2913', 'BYD', 'Nissan', '2007', 'SZ429081');
INSERT INTO Taxi VALUES ('DWK9086', 'Citroen', 'Citroen', '2018', 'YD162700');
INSERT INTO Taxi VALUES ('MKJ0324', 'Nissan', 'Honda', '2011', 'US584299');
INSERT INTO Taxi VALUES ('JLG1131', 'Volkswagen', 'Citroen', '2015', 'JP546907');
INSERT INTO Taxi VALUES ('GQO7922', 'Jaguar', 'Citroen', '2022', 'BQ310916');
INSERT INTO Taxi VALUES ('QTI0831', 'Jeep', 'Marcopolo', '1998', 'BS961676');
INSERT INTO Taxi VALUES ('TEW7423', 'Jeep', 'Honda', '2019', 'XJ143963');
INSERT INTO Taxi VALUES ('DHC9145', 'Suzuki', 'Marcopolo', '2016', 'OU564360');
INSERT INTO Taxi VALUES ('CSV2508', 'Renault', 'Suzuki', '2000', 'AV290763');
INSERT INTO Taxi VALUES ('VBS3015', 'Nissan', 'Honda', '2023', 'PF265993');
INSERT INTO Taxi VALUES ('TUD2857', 'Nissan', 'Nissan', '2024', 'YI093351');
INSERT INTO Taxi VALUES ('VIX2940', 'Volkswagen', 'Volkswagen', '2008', 'RY114838');
INSERT INTO Taxi VALUES ('AIY5553', 'Jeep', 'Honda', '2024', 'WL587300');
INSERT INTO Taxi VALUES ('BBG7774', 'Honda', 'Citroen', '2015', 'DE135704');
INSERT INTO Taxi VALUES ('MJQ7839', 'Honda', 'Mitsubishi', '2023', 'ZX627105');
INSERT INTO Taxi VALUES ('TRF7944', 'Honda', 'Suzuki', '2023', 'GR226490');
INSERT INTO Taxi VALUES ('MSV5666', 'Mitsubishi', 'Honda', '1999', 'UJ158440');
INSERT INTO Taxi VALUES ('KET3448', 'Peugeot', 'GWM', '2002', 'JD833154');
INSERT INTO Taxi VALUES ('AYX2362', 'Renault', 'Suzuki', '2014', 'DM630460');
INSERT INTO Taxi VALUES ('MZA3831', 'Renault', 'Citroen', '2015', 'JF461353');
INSERT INTO Taxi VALUES ('TIL1844', 'Mitsubishi', 'Jeep', '2009', 'XD027954');
INSERT INTO Taxi VALUES ('AKF4361', 'Fiat', 'BWM', '2007', 'ET559979');
INSERT INTO Taxi VALUES ('COE9405', 'Volkswagen', 'GWM', '2008', 'ED274076');
INSERT INTO Taxi VALUES ('EIX8726', 'Peugeot', 'Marcopolo', '1999', 'YF316285');
INSERT INTO Taxi VALUES ('XZH6585', 'Fiat', 'Fiat', '2022', 'XY935474');
INSERT INTO Taxi VALUES ('CKP4965', 'Jaguar', 'Honda', '2006', 'AD581506');
INSERT INTO Taxi VALUES ('HFG1976', 'BWM', 'Renault', '2023', 'PO665973');
INSERT INTO Taxi VALUES ('UNC9923', 'Jeep', 'Jaguar', '2024', 'ZQ096732');
INSERT INTO Taxi VALUES ('JES7644', 'Suzuki', 'Renault', '1999', 'CB053259');
INSERT INTO Taxi VALUES ('ZOB8534', 'Fiat', 'Honda', '2007', 'PD206271');
INSERT INTO Taxi VALUES ('GWH9827', 'Jeep', 'Honda', '2011', 'OW232428');
INSERT INTO Taxi VALUES ('XYH4273', 'Suzuki', 'Nissan', '2009', 'HW141494');
INSERT INTO Taxi VALUES ('STM0221', 'Suzuki', 'Suzuki', '2003', 'ZH144074');
INSERT INTO Taxi VALUES ('DOT2238', 'Toyota', 'BWM', '2004', 'OC264062');
INSERT INTO Taxi VALUES ('KWH1926', 'Mitsubishi', 'Renault', '2006', 'IP399278');
INSERT INTO Taxi VALUES ('FLH2402', 'Mitsubishi', 'Citroen', '2011', 'WU586273');
INSERT INTO Taxi VALUES ('GXA3406', 'Honda', 'Marcopolo', '2020', 'RB896876');
INSERT INTO Taxi VALUES ('NKD8491', 'Jaguar', 'Renault', '2015', 'SP046057');
INSERT INTO Taxi VALUES ('DPA9185', 'Suzuki', 'BWM', '2018', 'VM542810');
INSERT INTO Taxi VALUES ('XKZ1403', 'Mitsubishi', 'Mitsubishi', '2017', 'CP119117');
INSERT INTO Taxi VALUES ('QWC3894', 'Fiat', 'Fiat', '2017', 'RT265135');
INSERT INTO Taxi VALUES ('QRV7464', 'Suzuki', 'Volkswagen', '2016', 'NX933482');
INSERT INTO Taxi VALUES ('PLS1463', 'Renault', 'BWM', '2020', 'PF827841');
INSERT INTO Taxi VALUES ('WJD9819', 'Honda', 'Mitsubishi', '2017', 'KO471744');
INSERT INTO Taxi VALUES ('NZW7451', 'Fiat', 'Volkswagen', '2023', 'YH560478');
INSERT INTO Taxi VALUES ('KDU0975', 'Nissan', 'Fiat', '2005', 'PP794034');
INSERT INTO Taxi VALUES ('YAV3255', 'Volkswagen', 'Volkswagen', '2019', 'QL854508');
INSERT INTO Taxi VALUES ('RND4614', 'GWM', 'Citroen', '2020', 'PM810865');
INSERT INTO Taxi VALUES ('VTZ4915', 'Honda', 'Marcopolo', '1998', 'EE283399');
INSERT INTO Taxi VALUES ('PMG4204', 'BWM', 'BYD', '2008', 'OV865242');
INSERT INTO Taxi VALUES ('CQR8197', 'Mitsubishi', 'Renault', '2010', 'AL781827');
INSERT INTO Taxi VALUES ('NOZ5289', 'BYD', 'Jeep', '2010', 'GQ123117');
INSERT INTO Taxi VALUES ('QGN8745', 'Jaguar', 'BYD', '2005', 'PU807884');
INSERT INTO Taxi VALUES ('EDR2525', 'Nissan', 'Citroen', '2010', 'XD888456');
INSERT INTO Taxi VALUES ('QQH1699', 'Citroen', 'GWM', '2021', 'SF807469');
INSERT INTO Taxi VALUES ('ZEU8978', 'Suzuki', 'Volkswagen', '2020', 'DZ713486');
INSERT INTO Taxi VALUES ('NPC0950', 'Honda', 'Mitsubishi', '2021', 'XZ186319');
INSERT INTO Taxi VALUES ('OHW4208', 'BWM', 'Nissan', '2011', 'SF093265');
INSERT INTO Taxi VALUES ('YBG5873', 'Renault', 'BWM', '2024', 'VC118948');
INSERT INTO Taxi VALUES ('CHE8595', 'Suzuki', 'BWM', '2012', 'PB973148');
INSERT INTO Taxi VALUES ('SVX5161', 'Jeep', 'Honda', '2008', 'XS185657');
INSERT INTO Taxi VALUES ('VUE3481', 'Suzuki', 'Mitsubishi', '2017', 'FN034027');
INSERT INTO Taxi VALUES ('FAR7727', 'Citroen', 'Citroen', '2013', 'SA195344');
INSERT INTO Taxi VALUES ('KOJ2199', 'Jeep', 'Volkswagen', '2012', 'QM299163');
INSERT INTO Taxi VALUES ('NQY3831', 'Marcopolo', 'Volkswagen', '2024', 'EG960768');
INSERT INTO Taxi VALUES ('BYW9694', 'Volkswagen', 'Suzuki', '2010', 'GF112826');
INSERT INTO Taxi VALUES ('JNB7014', 'Nissan', 'BWM', '2011', 'YJ898496');
INSERT INTO Taxi VALUES ('PNO2044', 'BWM', 'Jaguar', '2007', 'EM688807');
INSERT INTO Taxi VALUES ('WIL2562', 'Suzuki', 'Volkswagen', '1999', 'UN649034');
INSERT INTO Taxi VALUES ('NKA9207', 'BWM', 'Nissan', '2000', 'MT238726');
INSERT INTO Taxi VALUES ('JUC3112', 'Jaguar', 'Mitsubishi', '1998', 'DI510644');
INSERT INTO Taxi VALUES ('RXZ6227', 'Honda', 'Jaguar', '2024', 'LZ828883');
INSERT INTO Taxi VALUES ('MLV6815', 'Suzuki', 'Peugeot', '2006', 'MO324254');
INSERT INTO Taxi VALUES ('OIA2375', 'Honda', 'Fiat', '2019', 'VG551027');
INSERT INTO Taxi VALUES ('AYT5413', 'Nissan', 'Nissan', '2016', 'KR547471');
INSERT INTO Taxi VALUES ('ZXP9933', 'Fiat', 'Citroen', '1998', 'AH134456');
INSERT INTO Taxi VALUES ('YAG5654', 'Volkswagen', 'Fiat', '2007', 'YC460568');
INSERT INTO Taxi VALUES ('NTD3682', 'Jeep', 'Honda', '2000', 'GS324740');
INSERT INTO Taxi VALUES ('XEL2635', 'Peugeot', 'Honda', '2011', 'SA285423');
INSERT INTO Taxi VALUES ('USX2188', 'BWM', 'Honda', '2017', 'EH860803');
INSERT INTO Taxi VALUES ('AOE3794', 'Nissan', 'Suzuki', '2003', 'DE400074');
INSERT INTO Taxi VALUES ('HWB2132', 'Volkswagen', 'Citroen', '1999', 'OD046788');
INSERT INTO Taxi VALUES ('XEE7851', 'Marcopolo', 'Volkswagen', '2024', 'TZ033175');
INSERT INTO Taxi VALUES ('WJG1383', 'Fiat', 'Jaguar', '2018', 'OV788809');
INSERT INTO Taxi VALUES ('QFV4848', 'Volkswagen', 'Honda', '2017', 'DW857857');
INSERT INTO Taxi VALUES ('RGY2504', 'Fiat', 'Jaguar', '2003', 'FQ194011');
INSERT INTO Taxi VALUES ('UCU4915', 'Nissan', 'Citroen', '2008', 'AO587765');
INSERT INTO Taxi VALUES ('UFM5420', 'Nissan', 'Mitsubishi', '2022', 'IW992671');
INSERT INTO Taxi VALUES ('ZEC7998', 'Suzuki', 'Renault', '2012', 'BO518413');
INSERT INTO Taxi VALUES ('LJR5094', 'Nissan', 'Volkswagen', '2016', 'ZD752040');
INSERT INTO Taxi VALUES ('BXS8086', 'Honda', 'Suzuki', '1999', 'PN434603');
INSERT INTO Taxi VALUES ('SBU7945', 'Toyota', 'Mitsubishi', '2011', 'FJ517048');
INSERT INTO Taxi VALUES ('TLH5877', 'Mitsubishi', 'Honda', '2007', 'PR019357');
INSERT INTO Taxi VALUES ('UOJ9846', 'Suzuki', 'Suzuki', '2015', 'KX660091');
INSERT INTO Taxi VALUES ('HWS1552', 'Suzuki', 'Jaguar', '1999', 'FR607683');
INSERT INTO Taxi VALUES ('OCQ6357', 'Jeep', 'Renault', '2007', 'FS800575');
INSERT INTO Taxi VALUES ('YQD5028', 'Renault', 'BWM', '2002', 'FI337200');
INSERT INTO Taxi VALUES ('OZC2861', 'Jeep', 'Peugeot', '2004', 'OZ509412');
INSERT INTO Taxi VALUES ('GLJ2173', 'BYD', 'Fiat', '2001', 'VQ053785');
INSERT INTO Taxi VALUES ('SIU6183', 'Fiat', 'Volkswagen', '1999', 'WM353257');
INSERT INTO Taxi VALUES ('YZO5672', 'Mitsubishi', 'Fiat', '2000', 'KZ134779');
INSERT INTO Taxi VALUES ('HDW9243', 'Jeep', 'Fiat', '2016', 'SR755839');
INSERT INTO Taxi VALUES ('IHH7659', 'BWM', 'Mitsubishi', '2001', 'OV702694');
INSERT INTO Taxi VALUES ('BVG2696', 'Jeep', 'Suzuki', '2012', 'ZQ484326');
INSERT INTO Taxi VALUES ('EGO0640', 'BYD', 'Volkswagen', '2022', 'UV983272');
INSERT INTO Taxi VALUES ('ADM9235', 'Mitsubishi', 'Suzuki', '2009', 'ZG547618');
INSERT INTO Taxi VALUES ('BKU7285', 'Citroen', 'GWM', '2012', 'XG570641');
INSERT INTO Taxi VALUES ('OCE6120', 'Nissan', 'Renault', '2001', 'UE088722');
INSERT INTO Taxi VALUES ('TZD5381', 'Jaguar', 'GWM', '1998', 'XL420727');
INSERT INTO Taxi VALUES ('OXK5466', 'Peugeot', 'Marcopolo', '2017', 'WS141892');
INSERT INTO Taxi VALUES ('PNW0422', 'Jeep', 'BWM', '2002', 'DA628442');
INSERT INTO Taxi VALUES ('FSS9577', 'Mitsubishi', 'Honda', '2022', 'HG691919');
INSERT INTO Taxi VALUES ('TXU5324', 'Marcopolo', 'Mitsubishi', '2011', 'SC716345');
INSERT INTO Taxi VALUES ('SEO6511', 'BYD', 'Fiat', '2016', 'ZI279004');
INSERT INTO Taxi VALUES ('AMW1719', 'Fiat', 'Citroen', '2007', 'OM289050');
INSERT INTO Taxi VALUES ('WWQ3044', 'Suzuki', 'Volkswagen', '2012', 'NA871563');
INSERT INTO Taxi VALUES ('LXM9845', 'GWM', 'Jeep', '2001', 'GK778525');
INSERT INTO Taxi VALUES ('WMH8614', 'BWM', 'BYD', '2005', 'OF103230');
INSERT INTO Taxi VALUES ('FAO5671', 'Honda', 'Mitsubishi', '2000', 'JC042599');
INSERT INTO Taxi VALUES ('JZI1731', 'Honda', 'Mitsubishi', '2003', 'XG203037');
INSERT INTO Taxi VALUES ('VYX1342', 'Suzuki', 'Citroen', '1999', 'BR321962');
INSERT INTO Taxi VALUES ('PMR1383', 'GWM', 'Honda', '1998', 'DK781821');
INSERT INTO Taxi VALUES ('UAO0092', 'Honda', 'Jaguar', '2005', 'GZ092274');
INSERT INTO Taxi VALUES ('UWZ6858', 'BWM', 'Renault', '2000', 'UP709246');
INSERT INTO Taxi VALUES ('KCG5265', 'GWM', 'Fiat', '2011', 'IO991565');
INSERT INTO Taxi VALUES ('KKE7654', 'Suzuki', 'Fiat', '2011', 'YO473944');
INSERT INTO Taxi VALUES ('ALW0312', 'Jeep', 'Volkswagen', '2015', 'LQ667072');
INSERT INTO Taxi VALUES ('YKZ7868', 'Peugeot', 'Volkswagen', '2015', 'CV100789');
INSERT INTO Taxi VALUES ('BRR1030', 'Peugeot', 'Fiat', '2010', 'IK133460');
INSERT INTO Taxi VALUES ('WWD4990', 'Renault', 'GWM', '2023', 'DB907835');
INSERT INTO Taxi VALUES ('RGS1884', 'Nissan', 'Mitsubishi', '2004', 'BU763084');
INSERT INTO Taxi VALUES ('FFE8398', 'Citroen', 'Renault', '1999', 'WL382409');
INSERT INTO Taxi VALUES ('YHJ6495', 'Suzuki', 'Renault', '2009', 'SP684178');
INSERT INTO Taxi VALUES ('PCW1788', 'Fiat', 'Honda', '1999', 'PN120114');
INSERT INTO Taxi VALUES ('EAJ9024', 'Citroen', 'GWM', '2020', 'BI932649');
INSERT INTO Taxi VALUES ('OMK4872', 'Peugeot', 'Nissan', '2016', 'WN343838');
INSERT INTO Taxi VALUES ('SYB4697', 'Volkswagen', 'BWM', '2018', 'LQ472909');
INSERT INTO Taxi VALUES ('HXD9509', 'Mitsubishi', 'Nissan', '2017', 'TJ934121');
INSERT INTO Taxi VALUES ('OVV6440', 'Renault', 'Marcopolo', '2021', 'WU260835');
INSERT INTO Taxi VALUES ('VHH9643', 'Fiat', 'BWM', '2021', 'TZ803912');
INSERT INTO Taxi VALUES ('OMP4162', 'Fiat', 'Volkswagen', '2017', 'QI919756');
INSERT INTO Taxi VALUES ('QXV6626', 'Volkswagen', 'Suzuki', '2005', 'AD118433');
INSERT INTO Taxi VALUES ('YGN0085', 'BWM', 'Renault', '2018', 'KU256628');
INSERT INTO Taxi VALUES ('QFN9423', 'Honda', 'Volkswagen', '2015', 'YI093897');
INSERT INTO Taxi VALUES ('YWV7742', 'Volkswagen', 'BWM', '2017', 'TY997814');
INSERT INTO Taxi VALUES ('SHS4265', 'BWM', 'BYD', '1998', 'GD025378');
INSERT INTO Taxi VALUES ('WXY8849', 'Volkswagen', 'Renault', '2024', 'RK969797');
INSERT INTO Taxi VALUES ('GLK7743', 'Renault', 'Mitsubishi', '2011', 'YQ093063');
INSERT INTO Taxi VALUES ('LXR5467', 'Honda', 'Volkswagen', '2017', 'MS312337');
INSERT INTO Taxi VALUES ('JLO5039', 'Mitsubishi', 'Suzuki', '1999', 'PS843692');
INSERT INTO Taxi VALUES ('WWN9403', 'Honda', 'Honda', '2017', 'PK186380');
INSERT INTO Taxi VALUES ('XFE0562', 'Renault', 'Honda', '1998', 'OP204813');
INSERT INTO Taxi VALUES ('VAX3369', 'Jeep', 'BWM', '1998', 'PG439518');
INSERT INTO Taxi VALUES ('GOW2109', 'Volkswagen', 'BWM', '2018', 'YE570451');
INSERT INTO Taxi VALUES ('LNH2137', 'Volkswagen', 'Nissan', '2004', 'AA157106');
INSERT INTO Taxi VALUES ('JZO4863', 'Honda', 'Jeep', '2014', 'VR206977');
INSERT INTO Taxi VALUES ('ALK1219', 'BYD', 'Jaguar', '2021', 'BN453338');
INSERT INTO Taxi VALUES ('NEP8094', 'Volkswagen', 'Marcopolo', '2011', 'NC611570');
INSERT INTO Taxi VALUES ('XJZ8278', 'Suzuki', 'BWM', '2012', 'IP859289');
INSERT INTO Taxi VALUES ('YQM9949', 'Marcopolo', 'Peugeot', '1999', 'JU956371');
INSERT INTO Taxi VALUES ('PXF4833', 'Citroen', 'Nissan', '2016', 'CP759359');
INSERT INTO Taxi VALUES ('SYL5476', 'GWM', 'Volkswagen', '1999', 'VF581113');
INSERT INTO Taxi VALUES ('EVJ5851', 'Fiat', 'Citroen', '2024', 'WN084937');
INSERT INTO Taxi VALUES ('QOS5416', 'Fiat', 'Suzuki', '2019', 'DJ887862');
INSERT INTO Taxi VALUES ('TWG9219', 'Toyota', 'Peugeot', '1998', 'RT431699');
INSERT INTO Taxi VALUES ('LAD7589', 'Jeep', 'Suzuki', '2006', 'VN908682');
INSERT INTO Taxi VALUES ('DWW9323', 'Fiat', 'Renault', '2000', 'XL507219');
INSERT INTO Taxi VALUES ('LQQ1325', 'Renault', 'Marcopolo', '2022', 'FH234010');
INSERT INTO Taxi VALUES ('HZN7617', 'Nissan', 'Renault', '2021', 'MP176386');
INSERT INTO Taxi VALUES ('TSH6581', 'Volkswagen', 'Volkswagen', '2006', 'IB723235');
INSERT INTO Taxi VALUES ('AJT0945', 'Volkswagen', 'BWM', '2008', 'PX734496');
INSERT INTO Taxi VALUES ('FPM5089', 'Peugeot', 'Suzuki', '2008', 'TC053209');
INSERT INTO Taxi VALUES ('WMA3737', 'Fiat', 'Suzuki', '2011', 'YR465596');
INSERT INTO Taxi VALUES ('OVX7138', 'Nissan', 'Suzuki', '2017', 'LF852131');
INSERT INTO Taxi VALUES ('XIT1150', 'Fiat', 'Citroen', '2017', 'ER155516');
INSERT INTO Taxi VALUES ('FKE5190', 'BWM', 'Jaguar', '2012', 'NO930955');
INSERT INTO Taxi VALUES ('YQI2988', 'Volkswagen', 'GWM', '2018', 'SE937266');
INSERT INTO Taxi VALUES ('GHE9470', 'Mitsubishi', 'Honda', '2022', 'QK310115');
INSERT INTO Taxi VALUES ('ZHM0801', 'Nissan', 'Honda', '2010', 'BN113407');
INSERT INTO Taxi VALUES ('QII9481', 'Nissan', 'Citroen', '2016', 'RD290342');
INSERT INTO Taxi VALUES ('SWV3299', 'Peugeot', 'Marcopolo', '2003', 'QN920072');
INSERT INTO Taxi VALUES ('XYM8666', 'Renault', 'Suzuki', '2018', 'IW601735');
INSERT INTO Taxi VALUES ('ZCP4706', 'BWM', 'Honda', '2024', 'KR652462');
INSERT INTO Taxi VALUES ('DCK4169', 'Mitsubishi', 'Peugeot', '2023', 'AV776383');
INSERT INTO Taxi VALUES ('QXM4779', 'Honda', 'Jaguar', '2024', 'SX715386');
INSERT INTO Taxi VALUES ('IUY3635', 'Suzuki', 'Volkswagen', '2005', 'LJ399009');
INSERT INTO Taxi VALUES ('NHB1929', 'BYD', 'Renault', '2008', 'FV979912');
INSERT INTO Taxi VALUES ('ORD0967', 'Honda', 'Suzuki', '2014', 'GR250439');
INSERT INTO Taxi VALUES ('TUM4261', 'Marcopolo', 'Peugeot', '2019', 'FN517031');
INSERT INTO Taxi VALUES ('SUX6496', 'Renault', 'Volkswagen', '2007', 'IW810637');
INSERT INTO Taxi VALUES ('SSB8528', 'Nissan', 'Volkswagen', '2008', 'XT467712');
INSERT INTO Taxi VALUES ('FSB0096', 'BWM', 'Honda', '2006', 'DD339721');
INSERT INTO Taxi VALUES ('OHX2567', 'BYD', 'Renault', '2011', 'SJ148785');
INSERT INTO Taxi VALUES ('JRB4174', 'BWM', 'Peugeot', '2019', 'ZD711212');
INSERT INTO Taxi VALUES ('ERF0176', 'Citroen', 'Nissan', '2024', 'JG679512');
INSERT INTO Taxi VALUES ('ZZG9036', 'Jeep', 'Renault', '2006', 'GA626486');
INSERT INTO Taxi VALUES ('KEY8276', 'GWM', 'Jeep', '2005', 'DY313033');
INSERT INTO Taxi VALUES ('SBV9064', 'Marcopolo', 'Volkswagen', '2015', 'GE029060');
INSERT INTO Taxi VALUES ('VRR5561', 'Marcopolo', 'BWM', '2014', 'PF729282');
INSERT INTO Taxi VALUES ('UIC5290', 'Volkswagen', 'Marcopolo', '2002', 'MO663436');
INSERT INTO Taxi VALUES ('OJQ6740', 'Citroen', 'Fiat', '2019', 'RF120711');
INSERT INTO Taxi VALUES ('SCY2567', 'Marcopolo', 'Honda', '2009', 'LD231261');
INSERT INTO Taxi VALUES ('OBX7380', 'Honda', 'Jeep', '2024', 'FO105305');
INSERT INTO Taxi VALUES ('PIV8026', 'Honda', 'Honda', '2020', 'OZ409196');
INSERT INTO Taxi VALUES ('EDF8930', 'Marcopolo', 'Jaguar', '2017', 'YN853010');
INSERT INTO Taxi VALUES ('IVP3012', 'Fiat', 'Suzuki', '2011', 'ZF176652');
INSERT INTO Taxi VALUES ('QZG3929', 'Jaguar', 'BWM', '2016', 'NY571093');
INSERT INTO Taxi VALUES ('ZYJ0991', 'Nissan', 'Suzuki', '2012', 'OG915289');
INSERT INTO Taxi VALUES ('IFY1818', 'Peugeot', 'BWM', '2000', 'UN683439');
INSERT INTO Taxi VALUES ('VNW7116', 'Nissan', 'Mitsubishi', '2002', 'NQ670708');
INSERT INTO Taxi VALUES ('XBA0866', 'Volkswagen', 'BWM', '2002', 'WI176484');
INSERT INTO Taxi VALUES ('DLB9478', 'Nissan', 'Mitsubishi', '2001', 'WQ375577');
INSERT INTO Taxi VALUES ('RAA4819', 'Citroen', 'GWM', '2007', 'PC255632');
INSERT INTO Taxi VALUES ('AFU5835', 'BWM', 'Honda', '2023', 'LL681548');
INSERT INTO Taxi VALUES ('OPC2510', 'Fiat', 'BWM', '2009', 'YD270273');
INSERT INTO Taxi VALUES ('FQG0852', 'Honda', 'Nissan', '1999', 'IM633086');
INSERT INTO Taxi VALUES ('XRT4884', 'Honda', 'BWM', '2011', 'TP450537');
INSERT INTO Taxi VALUES ('EDZ9134', 'Peugeot', 'Peugeot', '2021', 'JE785239');
INSERT INTO Taxi VALUES ('HLC3423', 'Fiat', 'Mitsubishi', '1998', 'UU005860');
INSERT INTO Taxi VALUES ('ZJP2086', 'Volkswagen', 'Volkswagen', '2004', 'FG399742');
INSERT INTO Taxi VALUES ('RVS6808', 'Mitsubishi', 'Mitsubishi', '2014', 'CJ296424');
INSERT INTO Taxi VALUES ('EXT1384', 'Renault', 'Nissan', '2021', 'YV199107');
INSERT INTO Taxi VALUES ('JVA2544', 'Mitsubishi', 'Jaguar', '2002', 'IK892927');
INSERT INTO Taxi VALUES ('CQM2361', 'Honda', 'Renault', '2015', 'KW229377');
INSERT INTO Taxi VALUES ('IGE3450', 'Peugeot', 'Volkswagen', '2001', 'DW555776');
INSERT INTO Taxi VALUES ('TLA6935', 'Fiat', 'Marcopolo', '2017', 'CA695513');
INSERT INTO Taxi VALUES ('CQU4924', 'BWM', 'Citroen', '2017', 'TX624354');
INSERT INTO Taxi VALUES ('VPE8347', 'Jaguar', 'GWM', '2021', 'DD054143');
INSERT INTO Taxi VALUES ('VWB5076', 'Jaguar', 'Honda', '2013', 'KN962321');
INSERT INTO Taxi VALUES ('RPN7868', 'Renault', 'Mitsubishi', '2020', 'PZ401344');
INSERT INTO Taxi VALUES ('QCF4317', 'Suzuki', 'Nissan', '2006', 'AN382379');
INSERT INTO Taxi VALUES ('HPD4793', 'Volkswagen', 'Renault', '2005', 'TQ304871');
INSERT INTO Taxi VALUES ('RPB5220', 'Nissan', 'Citroen', '2023', 'MB983171');
INSERT INTO Taxi VALUES ('XLE6323', 'Renault', 'Jaguar', '2017', 'GH315393');
INSERT INTO Taxi VALUES ('GIL2285', 'Nissan', 'Jeep', '2006', 'YX241495');
INSERT INTO Taxi VALUES ('JHX4094', 'Marcopolo', 'Fiat', '2016', 'AJ284995');
INSERT INTO Taxi VALUES ('AEF5590', 'Suzuki', 'Renault', '2003', 'KB960825');
INSERT INTO Taxi VALUES ('XBZ8818', 'Marcopolo', 'Volkswagen', '2012', 'LQ259434');
INSERT INTO Taxi VALUES ('MNK4233', 'Honda', 'Suzuki', '2000', 'TU383833');
INSERT INTO Taxi VALUES ('TPP4287', 'Renault', 'Nissan', '2010', 'NF752264');
INSERT INTO Taxi VALUES ('UDS3115', 'Toyota', 'Renault', '2023', 'JC052847');
INSERT INTO Taxi VALUES ('SIN5125', 'Nissan', 'Nissan', '2014', 'VA012792');
INSERT INTO Taxi VALUES ('NRJ7866', 'Fiat', 'Mitsubishi', '2015', 'LG837292');
INSERT INTO Taxi VALUES ('QSP6627', 'Jeep', 'Volkswagen', '2020', 'VY778566');
INSERT INTO Taxi VALUES ('ILT8031', 'Peugeot', 'BWM', '1998', 'TN207107');
INSERT INTO Taxi VALUES ('EKE8837', 'Jeep', 'Honda', '2012', 'SW549444');
INSERT INTO Taxi VALUES ('EJC6144', 'Nissan', 'BWM', '2014', 'GB762110');
INSERT INTO Taxi VALUES ('GTD7769', 'Fiat', 'Citroen', '2021', 'VN724106');
INSERT INTO Taxi VALUES ('QOI7383', 'Fiat', 'Marcopolo', '2000', 'SH556577');
INSERT INTO Taxi VALUES ('QRF7626', 'Mitsubishi', 'GWM', '2016', 'AT887507');
INSERT INTO Taxi VALUES ('XDQ2718', 'BYD', 'Renault', '2011', 'AV501953');
INSERT INTO Taxi VALUES ('UYM2819', 'Fiat', 'Citroen', '2020', 'BB301838');
INSERT INTO Taxi VALUES ('IHN1069', 'Toyota', 'Volkswagen', '2014', 'MZ713950');
INSERT INTO Taxi VALUES ('THR6247', 'Toyota', 'Nissan', '2020', 'NX555550');
INSERT INTO Taxi VALUES ('PBX2313', 'Peugeot', 'Renault', '2019', 'TU331535');
INSERT INTO Taxi VALUES ('FKA0912', 'Honda', 'BYD', '2010', 'QO468628');
INSERT INTO Taxi VALUES ('BIL8576', 'Marcopolo', 'Renault', '2022', 'VZ932277');
INSERT INTO Taxi VALUES ('WKS7339', 'Citroen', 'Jeep', '2000', 'ED951689');
INSERT INTO Taxi VALUES ('IZI6208', 'Honda', 'Fiat', '2011', 'CR077780');
INSERT INTO Taxi VALUES ('DJJ7206', 'Jeep', 'Jeep', '1999', 'SJ997427');
INSERT INTO Taxi VALUES ('KBK6143', 'BWM', 'BYD', '2005', 'BY325917');
INSERT INTO Taxi VALUES ('ENX3561', 'BWM', 'Fiat', '2001', 'RC223391');
INSERT INTO Taxi VALUES ('GGI0573', 'Suzuki', 'Jaguar', '2024', 'HT683058');
INSERT INTO Taxi VALUES ('JTM3841', 'Fiat', 'Jaguar', '2019', 'OP417458');
INSERT INTO Taxi VALUES ('AYJ9183', 'Renault', 'Fiat', '2013', 'TX598551');
INSERT INTO Taxi VALUES ('HAL3724', 'Citroen', 'Citroen', '2000', 'NT234904');
